screen_name,id,followers_count,friends_count,favorites_count,statuses_count,last_status,created_at,
undilutedpoison,3039056355,442,328,4135,4640,1452474910,1424010102,1,
SlashArmyUK,363165096,10470,70,24,19518,1452452807,1314463796,1,
Ferucchi,2926088284,60,138,895,863,1452332201,1418776634,1,
hellsing_raven_,4047399863,276,835,98,24,1452351809,1445877618,1,
douglas_qsh,102086786,549,2389,51,265,1451665867,1262704953,1,
scumbagpat320,3769201452,7,5,3,0,NULL,1443870050,2,
KariEllonen,4652862677,27,329,0,5,1451858650,1451471488,1,
Hans_Diemann,1407392300,435,132,74,205,1451657108,1367836056,1,
DavimeloDgdm,3293981740,204,640,497,29,1452404803,1432295444,1,
musicotona,4659302054,2078,4011,0,8,1451974934,1451191675,1,
hurt138,14155327,29,39,25,3804,1452442600,1205626599,1,
SDL_Atl,2818027691,40,156,0,29,1452392854,1412820654,1,
GrysOli,2868061294,12,98,0,13,1451086296,1415484107,1,
merrill_woods,2399867893,91,295,33,110,1452436550,1395321469,1,
AndrewVisnicky,777981895,31,51,3,56,1451571477,1345807760,1,
bilen_tukan,3768479052,4,9,0,0,NULL,1443864403,2,
Guitar4Hm,55030374,18,27,40,7,1449625978,1247087485,1,
wizzle33,335927508,19,104,217,170,1446596015,1310736867,1,
a144aee323b34f3,2933521428,20,207,0,0,NULL,1418823179,2,
Indigore32,3433266459,146,279,185,22,1451256464,1440105931,1,
bilginfth,2427053574,18,208,7,2,1418767601,1396607264,1,
paulsaintanne,3271002428,59,162,0,0,NULL,1436275765,2,
Terrasi_Noemi,4664354301,25,29,0,1,1451584151,1451564110,1,
aurafect,4664177543,61,124,13,9,1452201192,1451562258,1,
john_roper15,4395122716,25,168,2,2,1451428012,1449414574,1,
6be578c6a4844fe,3315177404,1013,4258,994,108,1451708083,1439565854,1,
Luluu_c_estmoi,2975308543,21,104,10,1,1451856463,1421006785,1,
DiamondDave944,38645336,59,340,13,567,1452451679,1241781129,1,
avadimh,4318007680,8,36,1,0,NULL,1448800268,2,
CamoDark,4119711755,3,13,6,16,1452427518,1446731588,1,
BassthebeastNYC,4072869593,1958,4325,2465,368,1452474514,1446181493,1,
BriceSledge,3121738231,901,1908,12,270,1452442966,1427836912,1,
QuickCarl1,2521395794,92,773,78,11,1451583981,1400967349,1,
carollou53,526540585,32,197,349,0,NULL,1331914073,2,
Acast282,2160275736,85,271,13,102,1452199238,1382940127,1,
BrickworkMusic,4351429815,157,364,31,42,1451936278,1449067332,1,
tjackson_2014,90039609,905,1480,3794,6405,1452478155,1258239107,1,
WSLValentin,402224757,71,178,29,457,1451868903,1320087303,1,
ianallman,10812542,36,270,10,117,1451842100,1196695017,1,
kyoriemae_9,3931868774,12,81,31,125,1452404711,1445140271,1,
JamesRobinson41,319739167,17,188,6,72,1448394254,1308416821,1,
LoadaCrap,283043399,0,47,3,0,NULL,1302959574,2,
COSTASDINO,27146763,121,427,44,131,1444857793,1238203036,1,
IzunaBand,1069403702,37,161,1,47,1452381718,1357599774,1,
onet_eu,365986623,7,304,4,21,1419955189,1314875575,1,
4bf50afd07bf459,3339729251,150,851,158,36,1451553203,1434916848,1,
vikeeca76,291702401,15,70,28,3,1338321665,1304343870,1,
redhead_candy,1807590936,1241,4981,246,91,1452400761,1378619957,1,
GlassGav91,108891540,254,672,36,164,1452089936,1264585935,1,
VictorArriola19,4656202753,100,303,120,97,1452470443,1451146138,1,
1234ramo,397862632,461,3250,22,99,1452440902,1319529467,1,
MaggotsSlipnot,2853608664,2346,2458,1247,424,1452241463,1413158676,1,
Runbirdman,544619368,21,210,13,138,1451612557,1333489772,1,
SaicamX,4620053657,63,118,40,16,1452367742,1451208209,1,
The1StevenOtto,2393363622,78,468,454,82,1452464557,1395009687,1,
PEinmuller,3395581665,12,113,2,0,NULL,1438267203,2,
hflbend,4586508374,38,176,397,316,1452473999,1450375146,1,
manati_reynoso,4662006441,4,14,0,1,1451593712,1451545245,1,
iamsuperayhel05,4671464443,22,176,96,52,1452282696,1451369522,1,
