screen_name,id,followers_count,friends_count,favorites_count,statuses_count,last_status,created_at,
timboslicechi,388245605,25,54,3437,6791,1452471493,1318250719,1,
rafahd5,2822077970,9,62,1,0,NULL,1411224839,2,
GinRebekah,21369544,578,1163,801,0,NULL,1235100181,2,
hatakejose064,4575610295,122,395,24,10,1451362692,1450851387,1,
SkychangSpencer,2586880314,63,118,11,87,1451270615,1403672872,1,
CiroBermudez,1339386510,17,60,0,2,1384112760,1365519335,1,
Drowning_in_Snd,4626980897,9,15,2,1,1451342487,1451263724,1,
a_rodr66,4627446316,43,177,4,0,NULL,1451266939,2,
andreallgauer,4567546923,25,71,50,9,1452444830,1450786896,1,
rapergaper,3302240326,17,396,7,0,NULL,1432848259,2,
KatyPerry4638,449629990,138,48,0,0,NULL,1325151334,2,
consciouscad,3355304115,154,271,15,43,1452385854,1435856107,1,
Mwashsoul,4125950533,23,170,11,7,1452273400,1446656003,1,
s_alcubilla,4493185812,13,102,0,0,NULL,1449550431,2,
SuperiorImages,24707424,48,219,32,639,1452483431,1237217089,1,
ashlynndbradley,4653434498,6,165,22,0,NULL,1451107785,2,
vha506,4664015604,74,479,0,0,NULL,1451260180,2,
zacwilsonatl,4611808953,49,79,16,4,1452131756,1451142428,1,
TulameenDan,3793953734,549,2216,93,135,1452382807,1444062812,1,
fahim_aliff,2259547813,521,429,1513,6711,1452469103,1387842451,1,
andreaajohn,885504265,265,658,3013,1463,1452471220,1350428228,1,
syed_arifin,4659033444,12,52,18,1,1451966270,1451189026,1,
MtheosCmargo,4624727595,28,58,46,2,1451314916,1451246067,1,
nicolas61048307,4626006569,5,40,0,0,NULL,1451255903,2,
Kerrie_Dorsey,416137353,300,683,1853,969,1452446971,1321691923,1,
DrRube,22661884,141,579,752,1346,1452402859,1236107621,1,
DXfan117,166840603,37,216,1,82,1451711884,1279164832,1,
hanratty123,3089930331,7,80,0,0,NULL,1426196041,2,
aric_cornett,4625681067,34,149,0,0,NULL,1451253715,2,
gino_lamarcaaa,2455952558,169,109,312,694,1452476722,1398053837,1,
Joroper5,4236372335,52,155,137,61,1452201843,1448043659,1,
Renato230760,2417680017,82,111,408,518,1452376912,1395064732,1,
punk_rock_chef,535939028,134,372,34,553,1451243770,1332644706,1,
Resurectionmeta,4562821757,262,870,8,27,1452346858,1450748525,1,
GremlinofGanja,211554653,732,729,62,1527,1452441270,1288799696,1,
FlyinNinjaGypsy,398354028,181,492,3764,12556,1452475140,1319583912,1,
Kate_Kreator,3343927925,51,211,25,23,1452324888,1435147123,1,
ptvhector,3169334702,30,94,191,297,1452307969,1429833566,1,
SantiagoAV10,2825545200,26,99,52,113,1452462289,1411357019,1,
Rogelio12121343,4625267313,10,77,0,0,NULL,1451250394,2,
kristofvanloon,394792045,20,61,14,20,1451389303,1319129166,1,
LiL_sTrInGs,4569373637,14,86,0,2,1451841621,1450801126,1,
hugomuzic,500159586,3512,1149,148,294,1452024196,1329945875,1,
grahamsteele2,119508394,50,172,744,1522,1452270950,1267652103,1,
Derecuda,241013378,58,143,43,24,1451871248,1295594434,1,
AdamHGarner,321474201,45,149,23,1148,1452019417,1308674844,1,
dannyperitles,3318233972,2,44,4,5,1451361429,1439862794,1,
galantropo,4661081899,226,1000,6,23,1452289033,1451216232,1,
AndyKOJ,4633071343,121,467,3,22,1452132732,1450813447,1,
cs_buentello,4662933294,167,450,152,138,1452469099,1451244309,1,
teva_fourrier,4624060473,77,156,128,73,1452336451,1451240725,1,
LVWright77,4590936923,148,558,371,0,NULL,1450974377,2,
Xinasha,2307633290,19489,648,630,9749,1452303131,1390533557,1,
MotolaJoe,830631343,6,410,1,0,NULL,1347957530,2,
Ty_Senju_Uchiha,4138426222,138,161,4,47,1452400010,1446947424,1,
Cory61484,1454635316,58,363,24,0,NULL,1369412432,2,
VNebeska,4560671074,92,197,1316,322,1452442040,1450730763,1,
rafa_castillog,351283687,56,153,6,0,NULL,1312853260,2,
jwgreene_jd,4613919075,9,52,0,0,NULL,1451159348,2,
HshdjsJpraad,3226886784,15,142,15,24,1432633679,1432629759,1,
leoaugusto001,4623275655,229,1737,2037,400,1452480733,1451234424,1,
Ranvija31330295,2320615680,26,116,43,11,1452480822,1391165846,1,
buddyb3776,4723105161,45,343,135,135,1452439190,1452070705,1,
fikreterdem9,4489862722,5,30,5,8,1452031015,1450165460,1,
putriikhsaniaw1,4722614436,27,218,2,0,NULL,1452157512,2,
kapilmishra_123,4722604686,9,168,0,0,NULL,1452157454,2,
pbiro_peter,4733127082,11,97,0,1,1452158375,1452157505,1,
yagamilight35,4733144182,11,40,0,0,NULL,1452157658,2,
LOVERSNandoss,1642076802,1767,1764,3381,13734,1452421305,1375507122,1,
PhibonacciClo,4722751453,4,35,0,0,NULL,1452157585,2,
Lindaklopper,377170560,87,422,2673,11644,1452483366,1316578276,1,
ZENDYAAZA_,4722599202,4,12,14,2,1452346879,1452157303,1,
KaranMohil,89985594,17,116,1,14,1300478253,1258221409,1,
keanglong_ing,4689682664,19,218,2,0,NULL,1451656964,2,
robbie80477,4722554286,4,43,0,0,NULL,1452156569,2,
micahelcaraci28,4733070857,2,59,7,1,1452158398,1452157549,1,
FiorellaCardoz9,4711111395,19,74,0,0,NULL,1451966113,2,
anhuy13,4722689426,9,49,0,1,1452158661,1452157360,1,
Jordanc55254995,4733032821,21,119,6,8,1452189231,1452157691,1,
RohitTamang333,3144660674,15,103,19,1,1449392908,1428491885,1,
andi_morereward,4722703934,27,130,0,0,NULL,1452157610,2,
xFuX6CfGtAy1JTM,4722758839,4,39,0,0,NULL,1452157707,2,
kDcR1bcskAoWDjE,4717214178,0,21,0,0,NULL,1452063146,2,
agRDZmlzndxZ2WZ,4732849977,6,105,0,1,1452157817,1452156107,1,
RAJNEESHAWASTH7,4733110276,11,162,0,0,NULL,1452157350,2,
panda_lover_02,4722743113,7,24,0,0,NULL,1452157437,2,
bilalksa43,4733133736,51,147,8,3,1452438967,1452157560,1,
mark_puckett,4733082641,14,83,2,5,1452431681,1452157684,1,
kkxxrr,4722757813,20,61,1,17,1452407377,1452157693,1,
cd58ec1141164ea,4722700340,4,17,0,0,NULL,1452157551,2,
kushagrabansa14,4722626418,6,41,0,0,NULL,1452157731,2,
pedrotonio98,2400423896,87,643,17,103,1452462810,1395348049,1,
cameron_chalex,4722621384,64,280,7,2,1452163684,1452157642,1,
ardyhart,4722753133,4,19,3,8,1452452164,1452157617,1,
dinhquan298,4697976085,5,41,0,0,NULL,1451760869,2,
yashikamittal63,3065020176,13,154,86,9,1426768421,1425655168,1,
werom19502,4733153482,13,69,0,0,NULL,1452157736,2,
26VqWZkYsrYm4yI,4245527474,248,389,90,203,1452434705,1447590624,1,
cai032887,4722702920,11,77,2,1,1452169953,1452157589,1,
toumudemutou,4722550092,7,15,0,0,NULL,1452156385,2,
amad_mister,4722476298,31,153,300,7,1452401797,1452155091,1,
Vega67502728,4722752059,30,72,41,45,1452460735,1452157595,1,
Queen_neerd_25,4732988901,9,10,8,6,1452158004,1452157301,1,
imnoexecutive,3570796634,45,214,4,19,1452390128,1442315644,1,
MutemiC,4403654596,3,35,1,0,NULL,1449482164,2,
JHaspraj,4733080697,8,26,0,0,NULL,1452157640,2,
BBiokoro,4733033841,19,127,0,0,NULL,1452157699,2,
black_lover06,4733020275,3,22,0,0,NULL,1452157571,2,
jlawler8630,4733142976,21,135,0,2,1452197723,1452157646,1,
SundayOnyenso,4733132620,17,140,0,0,NULL,1452157557,2,
Ranvija31330295,2320615680,26,116,43,11,1452480822,1391165846,1,
buddyb3776,4723105161,45,343,135,135,1452439190,1452070705,1,
fikreterdem9,4489862722,5,30,5,8,1452031015,1450165460,1,
putriikhsaniaw1,4722614436,27,218,2,0,NULL,1452157512,2,
kapilmishra_123,4722604686,9,168,0,0,NULL,1452157454,2,
pbiro_peter,4733127082,11,97,0,1,1452158375,1452157505,1,
yagamilight35,4733144182,11,40,0,0,NULL,1452157658,2,
LOVERSNandoss,1642076802,1767,1764,3381,13734,1452421305,1375507122,1,
PhibonacciClo,4722751453,4,35,0,0,NULL,1452157585,2,
Lindaklopper,377170560,87,422,2673,11644,1452483366,1316578276,1,
ZENDYAAZA_,4722599202,4,12,14,2,1452346879,1452157303,1,
KaranMohil,89985594,17,116,1,14,1300478253,1258221409,1,
keanglong_ing,4689682664,19,218,2,0,NULL,1451656964,2,
robbie80477,4722554286,4,43,0,0,NULL,1452156569,2,
micahelcaraci28,4733070857,2,59,7,1,1452158398,1452157549,1,
FiorellaCardoz9,4711111395,19,74,0,0,NULL,1451966113,2,
anhuy13,4722689426,9,49,0,1,1452158661,1452157360,1,
Jordanc55254995,4733032821,21,119,6,8,1452189231,1452157691,1,
RohitTamang333,3144660674,15,103,19,1,1449392908,1428491885,1,
andi_morereward,4722703934,27,130,0,0,NULL,1452157610,2,
xFuX6CfGtAy1JTM,4722758839,4,39,0,0,NULL,1452157707,2,
kDcR1bcskAoWDjE,4717214178,0,21,0,0,NULL,1452063146,2,
agRDZmlzndxZ2WZ,4732849977,6,105,0,1,1452157817,1452156107,1,
RAJNEESHAWASTH7,4733110276,11,162,0,0,NULL,1452157350,2,
panda_lover_02,4722743113,7,24,0,0,NULL,1452157437,2,
bilalksa43,4733133736,51,147,8,3,1452438967,1452157560,1,
mark_puckett,4733082641,14,83,2,5,1452431681,1452157684,1,
kkxxrr,4722757813,20,61,1,17,1452407377,1452157693,1,
cd58ec1141164ea,4722700340,4,17,0,0,NULL,1452157551,2,
kushagrabansa14,4722626418,6,41,0,0,NULL,1452157731,2,
pedrotonio98,2400423896,87,643,17,103,1452462810,1395348049,1,
cameron_chalex,4722621384,64,280,7,2,1452163684,1452157642,1,
ardyhart,4722753133,4,19,3,8,1452452164,1452157617,1,
dinhquan298,4697976085,5,41,0,0,NULL,1451760869,2,
yashikamittal63,3065020176,13,154,86,9,1426768421,1425655168,1,
werom19502,4733153482,13,69,0,0,NULL,1452157736,2,
26VqWZkYsrYm4yI,4245527474,248,389,90,203,1452434705,1447590624,1,
cai032887,4722702920,11,77,2,1,1452169953,1452157589,1,
toumudemutou,4722550092,7,15,0,0,NULL,1452156385,2,
amad_mister,4722476298,31,153,300,7,1452401797,1452155091,1,
Vega67502728,4722752059,30,72,41,45,1452460735,1452157595,1,
Queen_neerd_25,4732988901,9,10,8,6,1452158004,1452157301,1,
imnoexecutive,3570796634,45,214,4,19,1452390128,1442315644,1,
MutemiC,4403654596,3,35,1,0,NULL,1449482164,2,
JHaspraj,4733080697,8,26,0,0,NULL,1452157640,2,
BBiokoro,4733033841,19,127,0,0,NULL,1452157699,2,
black_lover06,4733020275,3,22,0,0,NULL,1452157571,2,
jlawler8630,4733142976,21,135,0,2,1452197723,1452157646,1,
SundayOnyenso,4733132620,17,140,0,0,NULL,1452157557,2,
Ranvija31330295,2320615680,26,116,43,11,1452480822,1391165846,1,
buddyb3776,4723105161,45,343,135,135,1452439190,1452070705,1,
fikreterdem9,4489862722,5,30,5,8,1452031015,1450165460,1,
putriikhsaniaw1,4722614436,27,218,2,0,NULL,1452157512,2,
kapilmishra_123,4722604686,9,168,0,0,NULL,1452157454,2,
pbiro_peter,4733127082,11,97,0,1,1452158375,1452157505,1,
yagamilight35,4733144182,11,40,0,0,NULL,1452157658,2,
LOVERSNandoss,1642076802,1767,1764,3381,13734,1452421305,1375507122,1,
PhibonacciClo,4722751453,4,35,0,0,NULL,1452157585,2,
Lindaklopper,377170560,87,422,2673,11644,1452483366,1316578276,1,
ZENDYAAZA_,4722599202,4,12,14,2,1452346879,1452157303,1,
KaranMohil,89985594,17,116,1,14,1300478253,1258221409,1,
keanglong_ing,4689682664,19,218,2,0,NULL,1451656964,2,
robbie80477,4722554286,4,43,0,0,NULL,1452156569,2,
micahelcaraci28,4733070857,2,59,7,1,1452158398,1452157549,1,
FiorellaCardoz9,4711111395,19,74,0,0,NULL,1451966113,2,
anhuy13,4722689426,9,49,0,1,1452158661,1452157360,1,
Jordanc55254995,4733032821,21,119,6,8,1452189231,1452157691,1,
RohitTamang333,3144660674,15,103,19,1,1449392908,1428491885,1,
andi_morereward,4722703934,27,130,0,0,NULL,1452157610,2,
xFuX6CfGtAy1JTM,4722758839,4,39,0,0,NULL,1452157707,2,
ConsultantandJD,3068981900,289,648,1,631,1452383332,1425869618,1,
Andyy1902,4202763072,93,202,63,42,1452089477,1447257099,1,
EMcG78,424476733,15,46,3,5,1412621685,1322598567,1,
eviemccarthyxox,4611873400,25,114,1,2,1451249378,1451141998,1,
KatherinLoidjoy,475317201,438,776,9087,6025,1452487511,1327617968,1,
giuseppe_baris,4599699262,462,1898,15,15,1452439247,1451044253,1,
matteobleve27,4548619816,23,101,0,2,1452098338,1450634111,1,
NihaHumayra,4155184634,21,49,64,15,1451407634,1446884827,1,
billieianjoe,4655548405,51,240,2,1,1451216215,1451137032,1,
RoCKMeeTaaL,3647621116,127,606,2,42,1451003990,1442191101,1,
TheJaygles,4583991141,37,184,20,26,1452294403,1450919091,1,
ChrissyHush,217709968,20,261,2,4,1337517793,1290243414,1,
dkingjkingaking,4238865117,10,28,0,0,NULL,1448072552,2,
nicktembhu,793446007,38,197,50,58,1452432878,1346403684,1,
jeblon22,3029652541,99,219,66,0,NULL,1424344256,2,
Antisocialhh,3418585415,286,837,3,36,1452365583,1439406812,1,
santiorion14,4579464497,39,115,36,16,1451589942,1450882339,1,
caiq_jb,594317823,40,136,55,163,1452462438,1338346013,1,
Tashas4tashas,4600053028,40,210,17,3,1451166599,1451047094,1,
JcNgiam,2510632642,23,66,17,110,1452394928,1398523498,1,
mxthoue,4609983196,10,49,30,0,NULL,1451126813,2,
brutalstations,2940522126,44,210,1,3,1449642260,1419330108,1,
rurichan_s,4527517699,71,114,47,0,NULL,1449829231,2,
GrateWildman,381801078,5,14,5,3,1451150973,1317253328,1,
DimitrisSxi,4467489989,21,83,4,12,1451396572,1449988583,1,
ChautariyaBidur,4386131300,87,212,84,9,1451091714,1448697438,1,
Chloelouelliott,3102843783,1709,4281,8517,49107,1452471808,1426973871,1,
vitomonaco77,4217007153,7,63,1,12,1451606606,1447841060,1,
lu_mcfly,786824575,138,257,369,5010,1452449986,1346154063,1,
Like_RocknRoll_,1278045950,10,22,192,127,1451123816,1363620762,1,
elayhekmatian,4580526273,3,10,5,2,1451586949,1450891285,1,
BumerRo,3244866203,381,138,124,32530,1452475822,1431265190,1,
Mente_Mulvada,4654223713,10,184,84,26,1452383648,1451118197,1,
kijae1226,1353295500,7,54,0,9,1452235117,1365994563,1,
Rcarima18,1628461478,46,200,27,7,1393628315,1375035741,1,
juquinhamirim01,4430944167,33,153,55,14,1452320935,1449699375,1,
kenwood68,27468066,200,824,7,243,1419016458,1238349128,1,
Ezeal6,4568550474,24,182,4,63,1452456965,1450209221,1,
gsrobertson,23069740,187,359,141,2273,1451575268,1236350084,1,
swain_mithun,1326810307,13,122,452,47,1452318860,1365077125,1,
skyndawg,4329220513,122,411,521,65,1451142613,1448244415,1,
TahlKhan,4607113941,7,23,16,10,1452075246,1451104757,1,
CunhaDrummer55,4607362995,270,698,40,49,1452442433,1451106762,1,
nomi_roses,446169109,84,33,25,357,1452254402,1324812295,1,
Fields_of_KY,366033847,559,951,1095,3665,1452477162,1314882855,1,
dscheidt2,28464119,15,40,1,84,1411528838,1238720116,1,
Michael68202961,3463275507,92,107,864,333,1452487526,1440724351,1,
Suckres,78541009,192,857,12,2340,1452070968,1254295730,1,
afroamusic,1173619322,68,186,3,188,1451929876,1360721139,1,
ryghar,619044999,13,10,1,22,1424269267,1340708318,1,
SgHuIiBtUaKrI,4648843274,224,358,117,84,1452484616,1451041851,1,
BrendenTymec11,3025896705,209,173,3065,36,1452459073,1423448952,1,
lahtimik,3352261408,203,910,94,58,1452281930,1435691233,1,
angel_remix_098,4605833603,77,371,63,46,1451718730,1451094041,1,
madridcar7,631451994,40,139,253,113,1452406206,1341863795,1,
hevicus,235640438,1,24,0,0,NULL,1294511685,2,
chespidiaz,700847610,26,47,7,796,1452477296,1342522717,1,
n_stradlin,1574015671,16,119,14,2,1451275150,1373158847,1,
robertalawrence,49706018,56,124,0,0,NULL,1245693277,2,
lutfi23499816,4594539502,9,32,1,9,1451276936,1451002776,1,
WinslowLionel,4591476208,148,310,10,53,1452092051,1450978178,1,
PabloGuner,3014987494,238,300,3629,1571,1452460887,1422987328,1,
NaslowJuhani,1163686135,39,91,191,17,1451431825,1360434044,1,
Bego77Michele,1586978101,14,158,124,40,1450357049,1373581819,1,
CerebralMedia2,3408896782,38,131,15,42,1452383511,1439051738,1,
RiitaCostta,1459431116,431,683,888,1320,1452467685,1369568033,1,
Dimitris_Finos,4604472449,10,75,0,0,NULL,1451083107,2,
Josedepaulo10,4583511748,6,39,2,0,NULL,1450914291,2,
libertyrefugee,57136648,13,127,15,2,1442176323,1247691861,1,
ChelsUnderwood_,2377529798,11442,10378,4728,4644,1452467095,1394218785,1,
Checho_3000,4437445100,46,130,125,39,1452444601,1449110175,1,
WediiiRoocks,3320786790,114,287,222,286,1452450134,1440039851,1,
Beaven03,2959401799,113,270,1515,1473,1452476010,1420446510,1,
MichaelVanOost,318299844,430,2112,134,926,1452454384,1308211570,1,
maeva_bns,3137142465,20,126,9,18,1451260740,1428245188,1,
dogobpapo,577569748,8,55,1,16,1437989959,1336780751,1,
sam_kehler,339687503,12,79,4,8,1451757205,1311257237,1,
RBisque,1209480565,54,117,89,43,1452288473,1361558302,1,
schulzfire1,2229958705,647,999,377,1063,1451143422,1386165180,1,
angry_terence,294845971,59,104,2,258,1451075920,1304805303,1,
apeps_YNWA,3418894817,60,155,121,0,NULL,1439417165,2,
peter_wendland,3662475435,11,98,0,4,1442313646,1442309744,1,
FabienGuitarGuy,3348781119,19,76,12,30,1451833400,1435487853,1,
Chack_C,161876510,6,15,0,2,1378475971,1278032780,1,
790Niiicolas,4602289545,7,33,2,0,NULL,1451066005,2,
chechofnk539610,2400672410,7,68,2,11,1404656801,1395362553,1,
HannaGrundemann,937511665,16,88,52,25,1451070637,1352485995,1,
SusanaR70372415,4650883112,11,35,58,0,NULL,1451070791,2,
rjmusicdh,3982450872,1042,4522,710,110,1452449725,1445535991,1,
kappamars,4560659867,15,16,65,18,1451254723,1450731201,1,
ilanguedj26,4602116237,7,93,10,36,1452383220,1451064188,1,
el_abdel,305030350,141,741,2327,2115,1452466470,1306334144,1,
Badassvamp71,4537861402,417,769,8,62,1452481897,1450547758,1,
AndyYoung14,22012035,7,67,1,0,NULL,1235657552,2,
gregrahm,73501015,279,119,33,43,1437007956,1252707732,1,
quasarap,1492078914,128,202,450,381,1452430061,1370671525,1,
too_deivid,3949591229,49,135,1658,1076,1452462510,1444768450,1,
pcvrios,3595112412,183,1041,8,19,1451796092,1442503154,1,
pcvrios,3595112412,183,1041,8,19,1451796092,1442503154,1,
gaikotsuhead,2425262054,153,226,2523,0,NULL,1396512657,2,
JD_rules6969,743598169,130,489,200,163,1452281650,1344368477,1,
wmandino,39815593,303,1696,48,851,1448327548,1242240507,1,
RockAndRollPls,4599678923,49,257,83,85,1451220010,1451044617,1,
apeps_LFC,2483875246,186,329,151,2785,1452442131,1397471682,1,
aditishah2610,2837555352,21,133,121,0,NULL,1412227869,2,
GDBoudreau1,3544532176,0,7,0,0,NULL,1441368314,2,
kimdoun70401,4650336991,0,9,11,3,1451661222,1451062240,1,
jhahn35,4591699240,14,95,14,3,1451400633,1450979975,1,
MexiLexi98,4601457567,14,50,19,1,1451341709,1451059327,1,
Youssef70958014,4082413642,149,813,1,10,1451747631,1446293258,1,
SidiAwkei,4601549595,52,98,0,0,NULL,1451060067,2,
Dat_Satan,2896766094,5,23,2,0,NULL,1415727617,2,
pshots,86705759,9,101,9,7,1449710282,1257075348,1,
tiago_vsmartins,1516404973,8,64,1,0,NULL,1371214919,2,
sebastiancova5,3347166971,24,249,32,789,1452403300,1435371326,1,
RichardHeath4,607445891,61,275,218,100,1448058373,1339612732,1,
aunquefluyan,258018686,481,1214,4235,27359,1452477250,1298749700,1,
Sadam_officiel,3242272504,362,2734,773,764,1452472852,1431109746,1,
Chrijomeyer,143554249,37,126,38,12,1449875124,1273780696,1,
Farhan_z8,977873996,743,840,334,7708,1452476258,1354176778,1,
WorthOrWaste,4557752422,72,142,40,104,1452485232,1450707359,1,
Revenant_UK,1280199108,199,511,104,684,1452340217,1363693561,1,
Samet9Samet,4597976475,788,4979,0,433,1452485141,1451031354,1,
ErenLidia,2611371296,40,308,148,13,1449439943,1404812148,1,
evanlooy,315202332,28,11,0,5,1414653135,1307799373,1,
uknowthatguyjim,4642470638,92,678,74,39,1452393439,1450949906,1,
GuillaumeAA,234849992,31,857,2,0,NULL,1294339205,2,
instillrocks,70776144,152,692,14,53,1452244095,1251836713,1,
Shishi_2001,4597883357,4,115,14,2,1451070726,1451030184,1,
spiderppm,3438523672,2,22,0,0,NULL,1440450919,2,
Ray_SavageDeity,4631011760,22,112,20,4,1451727666,1450787610,1,
miniongirl130,4597134532,1,67,0,4,1451679733,1451023670,1,
Niiko211,448486872,14,74,9,276,1430773524,1325037854,1,
chronolithic,2620143842,140,255,123,34,1452478121,1405132817,1,
UniversoRock_,4558789823,133,475,105,48,1452472272,1450716209,1,
karolsilvarock,4511176948,75,765,32,0,NULL,1450334467,2,
31Quito,2356976402,55,416,0,5,1452125734,1393105473,1,
warmoth80,4647093612,9,70,0,0,NULL,1451017982,2,
learnguitar911,117933416,659,1808,1581,528,1452448832,1267238784,1,
Cpt_Scribbles,4633098853,103,391,130,4,1452061347,1450813816,1,
Stratejacket696,4243883793,230,321,207,241,1452453846,1448130440,1,
chrismaggard22,4619402240,393,766,245,140,1452375650,1450680143,1,
amirulcappiq,4640791873,20,59,94,53,1452439399,1450925080,1,
Stepp1A,346079446,55,671,1951,698,1452471198,1312134880,1,
RMAPpsychology,1114994288,222,165,78,316,1452266593,1358965667,1,
kazuk13a,2269756188,29,95,84,49,1451888860,1388458858,1,
troche_veronica,358971379,265,778,104,901,1451771388,1313871762,1,
kazuk13a,2269756188,29,95,84,49,1451888860,1388458858,1,
troche_veronica,358971379,265,778,104,901,1451771388,1313871762,1,
albert130775,546317517,90,262,1,268,1452427987,1333655026,1,
Armando71705007,4634814926,80,230,16,17,1451367759,1450839823,1,
robtorrens1,3908312499,157,114,3743,2804,1452482952,1444389182,1,
Gn91020,1363344924,1,72,0,0,NULL,1366337082,2,
ChristonDREADM2,4573787075,1550,5001,428,364,1452478015,1450836737,1,
ayahdody,116653714,52,228,22,82,1451570020,1266903772,1,
beerpongcha,2421454757,361,2293,541,548,1451884229,1395193467,1,
TDGraceJoker,4165221800,89,228,29,35,1452086971,1446963244,1,
mtnbikeaddict,118471545,60,439,35,190,1450680090,1267387494,1,
MikoVogelgesang,3064665394,9,18,0,16,1451007066,1425080270,1,
theswamplion,509209522,73,287,8527,2769,1452476311,1330547985,1,
cassano_lindo,2503260086,70,177,33,38,1452380627,1400384753,1,
2013SummitTeam,728748343,1814,2003,11817,13124,1452470844,1343752359,1,
altsponge,3133975633,291,871,221,130,1451444279,1428028823,1,
bradschaal86,175534744,465,1106,74,65,1450996582,1281131575,1,
JohnCooperB,1442575586,148,382,10,95,1452118337,1369013250,1,
waybongkeng,1899397520,111,684,77,376,1452487232,1380002885,1,
Evan52130,1855313172,23,121,48,56,1451956799,1378930439,1,
valvepreamp,351318454,197,858,2,133,1452302090,1312857581,1,
bderamer,480774632,1184,3030,0,13,1452300101,1328133302,1,
ChrisCrockerUSA,461782436,36503,30435,2531,1560,1452165514,1326346543,1,
ManuelD41360751,3786653232,276,657,307,733,1452487626,1444006391,1,
_jamesbassett,4495756153,5,24,1,2,1450833361,1449570030,1,
EricHare,305357470,56,89,24,420,1450364203,1306376826,1,
RayVendetta666,2358974683,976,2024,4261,177,1451700969,1393217770,1,
pedaltrane,4593162279,63,132,93,68,1452454345,1450992666,1,
averagemanryan,4113523332,33,153,1,0,NULL,1446559920,2,
Franklin1018,312242435,3,33,0,1,1452290260,1307391387,1,
GharFer,4534836622,191,944,146,9,1452415929,1450523494,1,
PeterRobinsonYo,108580250,120,211,0,3403,1451742723,1264505465,1,
BillNicolMusic,2972267967,91,247,7,44,1451238573,1420935771,1,
GharFer,4534836622,191,944,146,9,1452415929,1450523494,1,
PeterRobinsonYo,108580250,120,211,0,3403,1451742723,1264505465,1,
BillNicolMusic,2972267967,91,247,7,44,1451238573,1420935771,1,
landencebra,3284630823,154,315,76,129,1452480197,1431910103,1,
a3b901de5332467,2987855751,57,152,92,10,1451726895,1421784521,1,
prairietele,2611757035,0,68,1,0,NULL,1404828615,2,
CaliKat1994,4590791663,11,69,0,1,1450989872,1450973212,1,
EricTrance345,220557293,410,1577,1051,760,1452405160,1290916954,1,
tjs08110,4645171813,7,58,1,0,NULL,1450987826,2,
massenabanzai,1284221665,1,18,2,3,1416672329,1363811467,1,
ThomasTrussell,65190821,418,267,824,12222,1452482525,1250117648,1,
CaliboyMartinez,2794019446,21,81,41,44,1452485955,1412067860,1,
govea_alexandra,4581408339,61,160,71,64,1451774533,1450898361,1,
luisaabahena,4358901732,17,40,11,0,NULL,1448480005,2,
HamifaraMusic,3997818733,57,562,9,9,1451233704,1445655046,1,
SJarcor,3296866291,79,209,2809,567,1452426681,1437971173,1,
Lypsrock,2222510438,54,53,5,248,1452428869,1385788732,1,
RckyMtnMurph,4444912754,7,47,0,1,1450934639,1449170225,1,
rocelynt,428887065,63,218,323,0,NULL,1323076151,2,
doa505,4639859412,0,36,0,0,NULL,1450913377,2,
brkn_ksz,1476682699,42,150,37,22,1452442570,1370158136,1,
FitnessAnyaMind,4497424814,111,286,143,42,1451665608,1449583898,1,
ChrisCollett111,4562817202,83,411,0,0,NULL,1450747966,2,
KianSibal,4644449780,14,54,34,26,1452426743,1450978049,1,
MartinFerguso10,997717339,1,28,11,0,NULL,1354991056,2,
jenn_joey,4591291228,19,59,8,14,1451959532,1450976700,1,
dfagley,457616059,611,1296,9,65,1451883270,1325953771,1,
CarlosABarrigaP,429890569,19,119,0,3,1435688840,1323181689,1,
mikamodo,291362402,4,77,0,0,NULL,1304286519,2,
ivanv2001,1395444493,27,171,8,25,1451055306,1367437819,1,
mehranceramics,574181264,462,1904,34,3846,1452433101,1336449563,1,
jmartinez512,22062153,88,85,94,1411,1451998767,1235682460,1,
coonrad68,159340761,72,299,23,6,1451350618,1277436075,1,
RemBijari,2874749861,58,174,18,309,1452392572,1415860975,1,
MetalChon1,4643807491,5,42,4,13,1451739297,1450968254,1,
eriveltonSG13,3757237756,67,331,16,5,1450992737,1443074618,1,
DR4X92,4590182717,4,23,0,2,1451042348,1450968340,1,
MossWmossblues,3080195027,12,248,0,0,NULL,1425845586,2,
Pmartinezlll,3024761240,126,165,218,144,1452395215,1424234661,1,
rlvue,3107390118,170,168,242,629,1452434681,1427290675,1,
ACNM53,1042491134,14,207,20,22,1452430635,1356709397,1,
gasolinawaltz,84167842,43,104,118,196,1452021184,1256160742,1,
Oescrotao,426882053,101,266,8,331,1452333931,1322858202,1,
kaithspb2213,4019363805,238,544,283,296,1452468997,1445546899,1,
lyesinrin,3537759316,8,55,21,1,1443728710,1441313750,1,
SLYDR1974,2744666173,20,79,10,88,1452070638,1408447141,1,
Chelsey_Ma_,4643238614,13,45,111,0,NULL,1450960906,2,
metfrases,4562227523,150,570,73,83,1452199950,1450743763,1,
Lipe_Louis,4036054515,133,577,529,131,1452248890,1445743302,1,
evdekigitarist,3160876948,44,234,808,169,1452177241,1428864359,1,
gayaniperera93,1471482433,13,42,20,5,1452153140,1369980806,1,
DavidaSehnert,2202812210,803,17,79,100723,1452486847,1384854030,1,
soraya_emmy,4056880943,113,174,118,0,NULL,1445990286,2,
